Region,Category,Sub-Category,Sales,Profit,Customer Name
Europe,Office Supplies,Binders,1771.08,1373.64,Amina Ali
Europe,Technology,Chairs,525.08,-395.48,Carlos Ruiz
APAC,Furniture,Paper,2439.64,337.59,Carlos Ruiz
North America,Furniture,Binders,1298.75,20.32,John Doe
LATAM,Furniture,Paper,1438.67,961.64,Li Wei
Europe,Technology,Chairs,1550.3,1462.59,Jane Smith
Africa,Office Supplies,Storage,4019.07,13.06,Li Wei
Europe,Furniture,Phones,2705.02,808.35,Li Wei
Africa,Furniture,Storage,1570.31,-103.8,Emma Watson
APAC,Technology,Binders,3059.46,630.66,John Doe
Africa,Furniture,Copiers,3586.43,427.86,John Doe
LATAM,Technology,Phones,1377.67,1444.01,John Doe
North America,Office Supplies,Binders,2079.47,717.05,Emma Watson
Africa,Technology,Chairs,626.99,199.01,Amina Ali
Africa,Technology,Phones,922.12,-271.81,Li Wei
North America,Technology,Binders,3411.97,-197.51,Emma Watson
LATAM,Technology,Chairs,923.56,-49.37,Carlos Ruiz
Europe,Office Supplies,Storage,2635.31,1.93,Jane Smith
Africa,Office Supplies,Copiers,3551.05,1201.23,Amina Ali
North America,Furniture,Chairs,552.25,622.45,Carlos Ruiz
APAC,Office Supplies,Paper,2845.21,546.78,Li Wei
North America,Office Supplies,Chairs,1297.68,-270.46,John Doe
APAC,Furniture,Chairs,4815.38,1220.28,Li Wei
LATAM,Office Supplies,Copiers,2428.06,945.63,Emma Watson
Europe,Technology,Paper,4033.84,-364.66,Jane Smith
North America,Technology,Binders,2760.13,915.67,Emma Watson
Africa,Furniture,Binders,236.19,587.08,Amina Ali
LATAM,Furniture,Chairs,3173.09,-336.55,Amina Ali
North America,Furniture,Paper,4757.99,416.6,Jane Smith
Africa,Technology,Paper,3016.03,469.39,Carlos Ruiz
North America,Office Supplies,Copiers,4099.56,-168.45,Carlos Ruiz
APAC,Technology,Storage,4423.35,1391.4,Amina Ali
North America,Furniture,Binders,1155.84,1199.95,Amina Ali
North America,Office Supplies,Copiers,1075.98,838.04,John Doe
North America,Office Supplies,Phones,3062.69,424.59,Carlos Ruiz
